general;ok;Okay;
general;search;Search;
general;fields;Fields;
general;continue;Continue;
general;copy;Copy;
general;pick-date;Pick date;
general;save;Save;
general;later;Later;
general;details;Details;
general;confirm;Confirm;
general;time;Time;
general;save-changes;Save Changes;
general;learn-more;Learn more;
general;back;Back;
general;countries;Countries;
general;learn-more-url;https://www.doktar.com/en/farm-management;
general;create;Create;
general;logout;Are you sure you want to logout?;
general;no-sure;No, cancel;
general;yes-sure;Yes, I am sure;
general;today;Today;
general;tomorrow;Tomorrow;
general;mm;mm;
general;km/h;km/h;
general;%;%;
general;save-as-pdf;Save as PDF;
general;edit;Edit;
general;or;or;
general;date;Date;
general;expert;E;
general;we-get-in-touch;We'll get in touch;
general;nice-got-it;Nice, got it;
general;more;More;
general;copy-coordinates;Copy link;
general;share;Share;
general;delete;Delete;
general;no-result-found;No result found;
general;undo;Undo;
general;cancel;Cancel;
general;save-and-continue;Save & Continue;
general;plan;Plan;
general;crop-plan;Crop Plan;
general;confirmation;Confirmation;
general;next;Next;
general;confirm-changes;Confirm changes;
general;apply;Apply;
general;clear-all;Clear All;
general;coming-soon;We're currently working on making FieldFlow the best! You will be able to access the reports from here soon.;
general;coming-soon-dashboard;We're currently working on making FieldFlow the best! You will be able to access the dashboard from here soon.;
general;ok-got-it;Ok,got it;
lang;default;EN;
lang;code;en-EN;
lang;culture_info;en-EN;
errors;login_not_valid;Please fill the required areas.;
errors;device-data-not-available;Unable to access device data.;
errors;user-already-exist;The phone number is already in use. Please check the information you entered and try again.;
errors;phone-number-or-password-is-incorrect;Phone number or password is incorrect;
errors;record-not-found;Record Not Found;
errors;stage-date-must-be-less-than-next-stage-date;Stage date must be less than next stage date.;
errors;record-already-exist;This stage is already added, please check the stage name.;
errors;http_request_unexpected_error;We encountered an unexpected problem;
errors;auth-error;;
errors;email-already-used;e-Mail already used.;
errors;stage-date-must-be-greater-than-previous-stage-date;Stage date must be greater than previous stage date.;
errors;invalid-operation;It is not possible to trade in the demo field.;
errors;timeline-crop-cannot-be-null-or-empty;Crop is required field;
errors;timeline-id-cannot-be-null;Id is required field;
errors;timeline-stage-cannot-be-null-or-empty;Stage is required field;
errors;timeline-tempfarmattid-cannot-be-null-or-empty;Farm is required field;
errors;flagsave-id-cannot-be-null;Id is required field;
errors;flagsave-description-cannot-be-null-or-empty;Description is required field;
errors;flagsave-title-cannot-be-null-or-empty;Title is required field;
errors;flagsave-tempfarmattid-cannot-be-null-or-empty;Farm is required field;
errors;flagsave-flag-date-cannot-be-null-or-empty;Flag Date is required field;
errors;flagsave-lat-cannot-be-null-or-empty;Location is required field;
errors;flagsave-lon-cannot-be-null-or-empty;Location is required field;
errors;email-is-already-in-use;Email is already in use;
errors;phonenumber-format-is-not-suitable;Phonenumber format is not suitable;
errors;farm-geo-type-cannot-be-null-or-empty;Draw is required field;
errors;farm-geo-type-must-be-Polygon-or-Point;Draw format is not suitable;
errors;sowing-date-cannot-be-null-or-empty;Sowing date is required field;
errors;sowing-date-less-than-harvest-date;The sowing date cannot be greater than the harvest date.;
errors;harvest-date-cannot-be-null-or-empty;Harvest date is required field;
errors;harvest-date-greater-than-sowing-date;Harvest date cannot be less than sowing date;
errors;crop-cannot-be-null-or-empty;Crop is required field;
errors;lat-cannot-be-null;locaiton is required field;
errors;lon-cannot-be-null;Location is required field;
errors;tempfarmattid-cannot-be-null-or-empty;Farm is required field;
errors;flag-id-cannot-be-null-or-empty;Flag Id is required field;
errors;description-cannot-be-null-or-empty;Description is required field;
auth;welcome-fms;Welcome to Farm Management System;
auth;description-text;One comprehensive platform to track and manage all farm activities.;
auth;create-account;Create an account;
auth;already-account;I have already an account;
auth;change-language;Change language;
auth;create-new-profile;Create a new profile;
auth;sign-up-google;Sign up with Google;
auth;sign-up-facebook;Sign up with Facebook;
auth;continue-with-email;Continue with email;
auth;whats-your-name;What's your name?;
auth;sign-up-ready;Let's get you signed up and ready!;
auth;name-surname;Name and surname;
auth;have-account;I have an account;
auth;lets-get-details;Let's get to the details;
auth;email-address;Email address;
